epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.07,1.87626,3.42775,1.94277,0.00446,0.4793,0.02954,0.00793,2.51984,3.8668,2.43314,0.00010002,0.00010002,0.00010002
2,63.2375,1.78328,3.21868,1.84772,0.00445,0.4793,0.02938,0.01089,2.59849,4.04283,2.63782,0.000205983,0.000205983,0.000205983
3,92.8989,1.63506,2.86349,1.78508,0.0051,0.53486,0.04288,0.01499,2.35104,3.86438,2.453,0.000300393,0.000300393,0.000300393
4,122.721,1.64451,2.59498,1.75029,0.00509,0.52397,0.10368,0.04519,2.224,3.7659,2.37754,0.000383252,0.000383252,0.000383252
5,152.406,1.57122,2.44962,1.67992,0.0064,0.65686,0.0898,0.03286,2.28211,3.67426,2.3253,0.000454558,0.000454558,0.000454558
6,182.265,1.61244,2.37137,1.70754,0.00625,0.62745,0.12852,0.04412,2.34075,3.5254,2.36276,0.000514311,0.000514311,0.000514311
7,211.966,1.48202,2.3663,1.60524,1,0.07149,0.16409,0.04793,2.38638,3.40299,2.30341,0.000562512,0.000562512,0.000562512
8,242.039,1.51892,2.16657,1.6644,0.85909,0.04849,0.14819,0.05377,2.22739,3.37458,2.28378,0.000599161,0.000599161,0.000599161
9,272.074,1.51843,2.18277,1.63622,0.6956,0.09259,0.13799,0.05318,2.39059,3.23669,2.34088,0.000624258,0.000624258,0.000624258
10,301.57,1.53307,2.28774,1.73243,0.20228,0.07407,0.11638,0.04329,2.39759,3.29405,2.29216,0.000637803,0.000637803,0.000637803
11,331.46,1.66928,2.4744,1.84044,0.35494,0.1145,0.14374,0.05805,2.46028,3.29756,2.23276,0.000639795,0.000639795,0.000639795
12,361.169,1.55034,2.38595,1.73063,0.26424,0.14052,0.17596,0.06791,2.33671,3.12731,2.16194,0.000630234,0.000630234,0.000630234
13,390.674,1.48277,2.35537,1.64254,0.3422,0.18743,0.21424,0.07855,2.30463,3.08536,2.17748,0.000609122,0.000609122,0.000609122
14,420.461,1.40482,2.26236,1.58744,0.87787,0.18356,0.28378,0.11238,2.19887,2.97123,2.1407,0.000576457,0.000576457,0.000576457
15,449.674,1.38983,2.10088,1.57376,0.42947,0.2738,0.28775,0.11013,2.1007,2.93329,2.13015,0.000511769,0.000511769,0.000511769
16,479.026,1.34824,2.13686,1.52083,0.38599,0.29974,0.26836,0.115,2.05688,2.94133,2.13395,0.000429253,0.000429253,0.000429253
17,508.209,1.29048,1.95876,1.48549,0.38146,0.33224,0.26536,0.123,2.06052,2.89577,2.15592,0.000346736,0.000346736,0.000346736
18,537.416,1.19545,2.00749,1.44416,0.56006,0.27342,0.28511,0.12783,2.06477,2.84395,2.13321,0.00026422,0.00026422,0.00026422
19,566.582,1.22556,1.88136,1.44337,0.66756,0.36928,0.3529,0.12296,2.07621,2.81842,2.14335,0.000181703,0.000181703,0.000181703
20,595.887,1.17114,1.79697,1.36844,0.45381,0.36601,0.34491,0.11601,2.07743,2.7923,2.13573,9.91865e-05,9.91865e-05,9.91865e-05
